state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block group,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,111201,1,1408,524,236,960,28,177,133,36,103,111201,1,361031112011,1408,0.3721590909090909,0.6818181818181818,0.019886363636363636,0.12571022727272727,0.09446022727272728
36,103,111201,2,1302,760,518,617,24,125,274,36,103,111201,2,361031112012,1302,0.5837173579109063,0.4738863287250384,0.018433179723502304,0.09600614439324116,0.21044546850998463
36,103,111201,3,1081,795,711,269,45,44,276,36,103,111201,3,361031112013,1081,0.7354301572617946,0.2488436632747456,0.041628122109158186,0.04070305272895467,0.2553191489361702
36,103,111202,1,2397,1877,1625,507,155,73,629,36,103,111202,1,361031112021,2397,0.7830621610346267,0.21151439299123906,0.06466416353775553,0.03045473508552357,0.2624113475177305
36,103,111202,2,770,639,473,229,12,32,201,36,103,111202,2,361031112022,770,0.8298701298701299,0.2974025974025974,0.015584415584415584,0.04155844155844156,0.261038961038961
36,103,111202,3,1533,1131,934,481,55,54,375,36,103,111202,3,361031112023,1533,0.7377690802348337,0.31376386170906717,0.03587736464448793,0.03522504892367906,0.2446183953033268
36,103,111300,1,1699,1594,1551,49,46,33,538,36,103,111300,1,361031113001,1699,0.9381989405532666,0.028840494408475574,0.02707474985285462,0.01942319011183049,0.316656856974691
36,103,111300,2,1916,1834,1806,39,32,15,606,36,103,111300,2,361031113002,1916,0.9572025052192067,0.02035490605427975,0.016701461377870562,0.007828810020876827,0.3162839248434238
36,103,111300,3,1078,983,943,52,38,33,333,36,103,111300,3,361031113003,1078,0.911873840445269,0.04823747680890538,0.03525046382189239,0.030612244897959183,0.30890538033395176
36,103,111401,1,1420,1250,1142,128,47,77,459,36,103,111401,1,361031114011,1420,0.8802816901408451,0.09014084507042254,0.03309859154929577,0.054225352112676053,0.3232394366197183
36,103,111402,1,1660,1404,1329,122,103,60,539,36,103,111402,1,361031114021,1660,0.8457831325301205,0.07349397590361446,0.06204819277108434,0.03614457831325301,0.32469879518072287
36,103,111402,2,1310,1177,1117,75,74,7,408,36,103,111402,2,361031114022,1310,0.898473282442748,0.05725190839694656,0.05648854961832061,0.0053435114503816794,0.3114503816793893
36,103,111402,3,809,704,685,50,28,31,249,36,103,111402,3,361031114023,809,0.8702101359703337,0.06180469715698393,0.034610630407911,0.038318912237330034,0.30778739184178
36,103,111402,4,1106,942,817,156,73,40,329,36,103,111402,4,361031114024,1106,0.8517179023508138,0.1410488245931284,0.06600361663652803,0.03616636528028933,0.2974683544303797
36,103,111503,1,884,821,803,21,42,10,299,36,103,111503,1,361031115031,884,0.9287330316742082,0.023755656108597284,0.04751131221719457,0.011312217194570135,0.3382352941176471
36,103,111503,2,1913,1202,1073,344,101,356,498,36,103,111503,2,361031115032,1913,0.6283324621014114,0.17982226868792472,0.05279665446941976,0.1860951385258756,0.2603240982749608
36,103,111503,3,1526,1377,1317,73,71,52,319,36,103,111503,3,361031115033,1526,0.9023591087811271,0.04783748361730013,0.04652686762778506,0.03407601572739188,0.209043250327654
36,103,111504,1,1391,1259,1187,82,80,23,425,36,103,111504,1,361031115041,1391,0.9051042415528396,0.05895039539899353,0.05751258087706686,0.01653486700215672,0.3055355859094177
36,103,111505,1,2724,2420,2317,147,96,121,731,36,103,111505,1,361031115051,2724,0.8883994126284875,0.053964757709251104,0.03524229074889868,0.044419970631424374,0.26835535976505137
36,103,111505,2,1012,523,399,296,58,243,238,36,103,111505,2,361031115052,1012,0.516798418972332,0.2924901185770751,0.05731225296442688,0.24011857707509882,0.23517786561264822
36,103,111505,3,956,221,93,301,33,511,174,36,103,111505,3,361031115053,956,0.23117154811715482,0.3148535564853556,0.034518828451882845,0.5345188284518828,0.18200836820083682
36,103,111505,4,1794,918,750,384,92,553,445,36,103,111505,4,361031115054,1794,0.5117056856187291,0.2140468227424749,0.05128205128205128,0.30824972129319955,0.2480490523968785
36,103,111506,1,1994,1640,1538,126,164,145,556,36,103,111506,1,361031115061,1994,0.8224674022066198,0.06318956870611836,0.08224674022066199,0.07271815446339017,0.27883650952858574
36,103,111506,2,1551,728,515,384,160,437,338,36,103,111506,2,361031115062,1551,0.4693745970341715,0.24758220502901354,0.1031592520954223,0.28175370728562216,0.21792392005157962
36,103,111601,1,1613,1527,1408,141,31,8,445,36,103,111601,1,361031116011,1613,0.9466831990080595,0.08741475511469311,0.019218846869187848,0.0049597024178549285,0.2758834469931804
36,103,111601,2,2377,2257,2114,177,40,15,672,36,103,111601,2,361031116012,2377,0.9495161968868321,0.0744636095919226,0.016827934371055953,0.006310475389145982,0.28270929743374
36,103,111602,1,1814,1760,1688,87,10,6,570,36,103,111602,1,361031116021,1814,0.9702315325248071,0.047960308710033074,0.005512679162072767,0.0033076074972436605,0.31422271223814774
36,103,111602,2,1438,1330,1244,119,32,23,408,36,103,111602,2,361031116022,1438,0.9248956884561892,0.08275382475660639,0.022253129346314324,0.015994436717663423,0.28372739916550765
36,103,111701,1,988,874,817,92,71,5,287,36,103,111701,1,361031117011,988,0.8846153846153846,0.0931174089068826,0.07186234817813765,0.005060728744939271,0.29048582995951416
36,103,111701,2,1530,1408,1358,86,59,16,476,36,103,111701,2,361031117012,1530,0.9202614379084967,0.05620915032679739,0.038562091503267976,0.01045751633986928,0.3111111111111111
36,103,111701,3,625,544,520,39,53,9,159,36,103,111701,3,361031117013,625,0.8704,0.0624,0.0848,0.0144,0.2544
36,103,111701,4,1083,883,835,178,45,16,280,36,103,111701,4,361031117014,1083,0.8153277931671283,0.16435826408125578,0.04155124653739612,0.014773776546629732,0.2585410895660203
36,103,111701,5,1443,1349,1292,75,55,5,442,36,103,111701,5,361031117015,1443,0.9348579348579349,0.05197505197505198,0.038115038115038115,0.003465003465003465,0.3063063063063063
36,103,111703,1,933,848,813,53,43,19,265,36,103,111703,1,361031117031,933,0.9088960342979635,0.05680600214362272,0.04608788853161844,0.020364415862808145,0.2840300107181136
