state,county,tract,block,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,110102,1027,37,37,37,0,0,0,9,36,103,110102,1027,361031101021027,37,1.0,0.0,0.0,0.0,0.24324324324324326
36,103,110102,2000,92,85,78,13,0,0,27,36,103,110102,2000,361031101022000,92,0.9239130434782609,0.14130434782608695,0.0,0.0,0.29347826086956524
36,103,110102,2001,0,0,0,0,0,0,0,36,103,110102,2001,361031101022001,0,0.0,0.0,0.0,0.0,0.0
36,103,110102,2002,14,14,14,0,0,0,6,36,103,110102,2002,361031101022002,14,1.0,0.0,0.0,0.0,0.42857142857142855
36,103,110102,2003,317,281,274,9,26,2,85,36,103,110102,2003,361031101022003,317,0.886435331230284,0.028391167192429023,0.08201892744479496,0.006309148264984227,0.26813880126182965
36,103,110102,2004,12,12,11,1,0,0,6,36,103,110102,2004,361031101022004,12,1.0,0.08333333333333333,0.0,0.0,0.5
36,103,110102,2005,8,8,7,1,0,0,2,36,103,110102,2005,361031101022005,8,1.0,0.125,0.0,0.0,0.25
36,103,110102,2006,15,15,14,1,0,0,6,36,103,110102,2006,361031101022006,15,1.0,0.06666666666666667,0.0,0.0,0.4
36,103,110102,2007,307,290,276,27,3,1,79,36,103,110102,2007,361031101022007,307,0.9446254071661238,0.08794788273615635,0.009771986970684038,0.003257328990228013,0.25732899022801303
36,103,110102,2008,22,17,17,0,2,1,5,36,103,110102,2008,361031101022008,22,0.7727272727272727,0.0,0.09090909090909091,0.045454545454545456,0.22727272727272727
36,103,110102,2009,47,46,46,0,0,1,14,36,103,110102,2009,361031101022009,47,0.9787234042553191,0.0,0.0,0.02127659574468085,0.2978723404255319
36,103,110102,2010,124,119,116,3,4,0,39,36,103,110102,2010,361031101022010,124,0.9596774193548387,0.024193548387096774,0.03225806451612903,0.0,0.31451612903225806
36,103,110102,2011,63,60,59,1,2,0,20,36,103,110102,2011,361031101022011,63,0.9523809523809523,0.015873015873015872,0.031746031746031744,0.0,0.31746031746031744
36,103,110102,2012,67,65,65,0,0,2,19,36,103,110102,2012,361031101022012,67,0.9701492537313433,0.0,0.0,0.029850746268656716,0.2835820895522388
36,103,110102,2013,49,49,41,8,0,0,17,36,103,110102,2013,361031101022013,49,1.0,0.16326530612244897,0.0,0.0,0.3469387755102041
